source_id_mf,ra,dec,nb,na,cc_flags,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,qi_fact,saa_sep,moon_masked,dist,angle
1238m394_ac51-044100,123.8467548,-38.9898085,2,1,0000,04323a003,55322.53418230,11.727,0.028,3.458E+00,11.685,0.028,1.741E+00,11.312,null,1.031E+00,7.504,null,9.980E-01,1.0,45,0000,0.810698,305.728243
1238m394_ac51-044100,123.8467548,-38.9898085,2,1,0000,10124a220,55514.40304600,11.781,0.030,3.682E+00,11.794,0.034,1.716E+00,null,null,null,null,null,null,0.5,-4,0000,0.810698,305.728243
1238m394_ac51-044100,123.8467548,-38.9898085,2,1,0000,04330a061,55322.79879060,11.639,0.029,3.599E+00,11.637,0.039,1.882E+00,11.211,null,1.014E+00,7.616,null,9.920E-01,1.0,-8,0000,0.810698,305.728243
1238m394_ac51-044100,123.8467548,-38.9898085,2,1,0000,04326a061,55322.66648640,11.719,0.029,3.441E+00,11.730,0.031,1.688E+00,11.072,null,1.003E+00,7.802,null,1.091E+00,1.0,11,0000,0.810698,305.728243
1238m394_ac51-044100,123.8467548,-38.9898085,2,1,0000,04337a037,55322.99731060,11.656,0.030,3.426E+00,11.717,0.035,1.701E+00,10.704,null,1.013E+00,7.629,null,1.048E+00,1.0,9,0000,0.810698,305.728243
1238m394_ac51-044100,123.8467548,-38.9898085,2,1,0000,04334a061,55322.93109480,11.645,0.030,3.483E+00,11.640,0.038,1.884E+00,11.300,null,1.019E+00,7.797,null,9.920E-01,1.0,-8,0000,0.810698,305.728243
1238m394_ac51-044100,123.8467548,-38.9898085,2,1,0000,04345a037,55323.26191890,11.671,0.028,3.418E+00,11.706,0.035,1.760E+00,11.123,null,1.015E+00,7.783,null,9.820E-01,1.0,78,0000,0.810698,305.728243
1238m394_ac51-044100,123.8467548,-38.9898085,2,1,0000,04338a061,55323.06339900,11.653,0.023,3.427E+00,11.755,0.045,1.677E+00,11.455,null,1.012E+00,7.522,null,1.033E+00,1.0,27,0000,0.810698,305.728243
1238m394_ac51-044100,123.8467548,-38.9898085,2,1,0000,04349a037,55323.39422310,11.717,0.028,3.499E+00,11.791,0.036,1.703E+00,10.878,0.372,1.083E+00,7.767,null,9.990E-01,1.0,83,0000,0.810698,305.728243
1238m394_ac51-044100,123.8467548,-38.9898085,2,1,0000,04346a061,55323.32800730,11.646,0.029,3.657E+00,11.723,0.034,1.748E+00,11.229,null,1.007E+00,7.823,null,9.880E-01,1.0,87,0000,0.810698,305.728243
