HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2455955.97210,2012-01-29.4678809,ba,2.17,99.990,99.990,99.990,99.990,99.990,V
2455955.97401,2012-01-29.4697910,ba,2.21,99.990,99.990,99.990,99.990,99.990,V
2455972.85607,2012-02-15.3522303,ba,2.23,16.389,14.281,0.031,7.445,0.215,V
2455972.85848,2012-02-15.3546415,ba,2.23,16.262,14.292,0.036,7.364,0.242,V
2455972.89269,2012-02-15.3888504,ba,2.24,16.675,14.231,0.024,7.790,0.168,V
2455972.89506,2012-02-15.3912151,ba,2.26,16.487,14.248,0.029,7.669,0.199,V
2455985.81827,2012-02-28.3149528,ba,2.11,16.281,14.564,0.047,5.734,0.248,V
2455985.82064,2012-02-28.3173149,ba,2.10,16.364,14.591,0.045,5.589,0.230,V
2455985.84703,2012-02-28.3437186,ba,2.14,16.457,14.313,0.032,7.222,0.213,V
2456017.84757,2012-03-31.3461925,ba,2.40,15.715,14.415,0.067,6.575,0.401,V
2456017.85508,2012-03-31.3537070,ba,2.35,99.990,99.990,99.990,99.990,99.990,V
2456017.85716,2012-03-31.3557833,ba,2.37,99.990,99.990,99.990,99.990,99.990,V
2457007.96113,2014-12-16.4572322,ba,1.75,16.155,14.315,0.040,7.212,0.266,V
2457007.96286,2014-12-16.4589593,ba,1.79,15.981,14.321,0.048,7.172,0.312,V
2457007.97682,2014-12-16.4729116,bb,2.03,15.939,14.182,0.043,8.145,0.325,V
2457007.97825,2014-12-16.4743475,bb,2.02,15.402,14.524,0.099,5.945,0.533,V
2457008.96432,2014-12-17.4603763,ba,1.96,16.160,14.201,0.036,8.007,0.266,V
2457008.96579,2014-12-17.4618479,ba,1.99,16.153,14.289,0.039,7.382,0.267,V
2457008.98286,2014-12-17.4789135,bb,2.17,16.039,14.291,0.044,7.370,0.297,V
2457008.98438,2014-12-17.4804278,bb,2.18,16.001,14.285,0.045,7.413,0.307,V
2457009.95797,2014-12-18.4539812,ba,1.67,16.150,14.292,0.040,7.366,0.268,V
2457009.95939,2014-12-18.4553976,ba,1.69,16.107,14.209,0.038,7.949,0.279,V
2457009.97874,2014-12-18.4747464,bb,2.26,16.183,14.250,0.037,7.651,0.261,V
2457009.98021,2014-12-18.4762261,bb,2.24,16.088,14.261,0.041,7.574,0.284,V
2457010.97696,2014-12-19.4729306,bb,2.18,16.236,14.204,0.034,7.987,0.248,V
2457010.97837,2014-12-19.4743335,bb,2.17,16.123,14.208,0.038,7.955,0.275,V
2457011.96163,2014-12-20.4575619,ba,1.65,15.953,14.289,0.047,7.386,0.320,V
2457011.96310,2014-12-20.4590371,ba,1.68,16.132,14.295,0.040,7.342,0.272,V
2457011.97383,2014-12-20.4697618,bb,2.28,16.181,14.267,0.038,7.530,0.261,V
2457011.97553,2014-12-20.4714557,bb,2.28,16.329,14.263,0.033,7.560,0.229,V
2457021.94228,2014-12-30.4378895,ba,1.68,15.909,14.282,0.049,7.431,0.334,V
2457021.94376,2014-12-30.4393636,ba,1.69,15.791,14.283,0.055,7.425,0.371,V
2457021.95689,2014-12-30.4524965,bb,2.49,15.906,14.247,0.048,7.674,0.336,V
2457021.95829,2014-12-30.4538888,bb,2.46,15.834,14.289,0.053,7.384,0.358,V
2457037.90451,2015-01-15.3998365,ba,1.68,16.039,14.320,0.045,7.174,0.296,V
2457037.90591,2015-01-15.4012413,ba,1.59,16.055,14.268,0.042,7.524,0.292,V
2457037.92453,2015-01-15.4198673,bb,2.05,16.205,14.225,0.035,7.834,0.255,V
2457037.92593,2015-01-15.4212572,bb,2.04,16.178,14.240,0.037,7.723,0.261,V
2457038.83671,2015-01-16.3320379,ba,1.59,15.946,14.223,0.045,7.849,0.323,V
2457038.83812,2015-01-16.3334435,ba,1.62,16.023,14.277,0.044,7.467,0.301,V
2457038.93132,2015-01-16.4266488,bb,2.21,16.131,14.243,0.039,7.703,0.273,V
2457038.93273,2015-01-16.4280516,bb,2.23,16.043,14.217,0.041,7.886,0.296,V
2457039.80572,2015-01-17.3010423,ba,1.65,16.051,14.272,0.043,7.502,0.293,V
2457039.80711,2015-01-17.3024335,ba,1.60,15.835,14.247,0.051,7.675,0.357,V
2457039.91968,2015-01-17.4149981,bb,1.72,16.253,14.223,0.034,7.849,0.244,V
2457040.80304,2015-01-18.2983542,ba,1.65,16.034,14.295,0.044,7.343,0.297,V
2457040.80450,2015-01-18.2998146,ba,1.63,16.024,14.329,0.046,7.117,0.300,V
2457040.91678,2015-01-18.4120923,bb,2.04,16.296,14.250,0.033,7.650,0.234,V
2457040.91817,2015-01-18.4134861,bb,2.06,16.254,14.255,0.035,7.618,0.244,V
2457041.92522,2015-01-19.4205357,bb,2.33,16.161,14.275,0.039,7.480,0.265,V
2457041.92661,2015-01-19.4219265,bb,2.32,16.199,14.228,0.036,7.811,0.256,V
2457042.82006,2015-01-20.3153722,ba,1.67,16.127,14.342,0.042,7.034,0.273,V
2457042.82145,2015-01-20.3167634,ba,1.70,15.958,14.269,0.046,7.524,0.319,V
2457042.91432,2015-01-20.4096312,bb,2.14,16.264,14.271,0.035,7.507,0.242,V
2457042.91573,2015-01-20.4110413,bb,2.15,16.200,14.212,0.035,7.924,0.256,V
2457043.81881,2015-01-21.3141258,ba,2.04,15.932,14.334,0.050,7.085,0.327,V
2457043.82024,2015-01-21.3155568,ba,2.04,15.991,14.351,0.048,6.972,0.309,V
2457043.91364,2015-01-21.4089601,bb,1.68,16.306,14.242,0.033,7.711,0.232,V
2457043.91511,2015-01-21.4104224,bb,1.70,16.221,14.235,0.035,7.763,0.251,V
2457044.81643,2015-01-22.3117516,ba,1.98,16.218,14.334,0.039,7.085,0.251,V
2457044.83808,2015-01-22.3334017,ba,1.70,15.997,14.232,0.043,7.782,0.308,V
2457044.83948,2015-01-22.3347969,ba,1.69,16.192,14.333,0.040,7.094,0.258,V
2457044.96124,2015-01-22.4565609,bb,2.01,16.350,14.219,0.031,7.880,0.224,V
2457044.96264,2015-01-22.4579562,bb,1.99,16.244,14.231,0.034,7.793,0.246,V
2457045.81410,2015-01-23.3094251,ba,1.70,16.015,14.341,0.047,7.039,0.303,V
2457045.81550,2015-01-23.3108268,ba,1.96,16.038,14.279,0.043,7.449,0.296,V
2457045.94953,2015-01-23.4448518,bb,2.04,16.326,14.228,0.032,7.812,0.229,V
2457045.95093,2015-01-23.4462591,bb,2.04,16.294,14.203,0.032,7.995,0.235,V
2457046.79921,2015-01-24.2945342,ba,1.80,16.052,14.290,0.043,7.375,0.293,V
2457046.80068,2015-01-24.2960087,ba,1.65,16.025,14.270,0.044,7.513,0.300,V
2457046.95678,2015-01-24.4521042,bb,2.05,16.219,14.239,0.035,7.730,0.252,V
2457046.95820,2015-01-24.4535309,bb,2.04,16.283,14.225,0.033,7.831,0.238,V
2457047.90491,2015-01-25.4002474,ba,1.68,16.120,14.365,0.044,6.886,0.275,V
2457047.90636,2015-01-25.4016953,ba,1.64,16.160,14.320,0.040,7.176,0.265,V
2457047.96731,2015-01-25.4626486,bb,2.12,16.286,14.181,0.032,8.153,0.238,V
2457047.96871,2015-01-25.4640396,bb,2.13,16.156,14.234,0.037,7.766,0.267,V
2457048.81637,2015-01-26.3117128,ba,2.00,15.839,14.309,0.054,7.247,0.356,V
2457048.81783,2015-01-26.3131703,ba,2.02,16.026,14.336,0.046,7.069,0.300,V
2457048.95127,2015-01-26.4466126,bb,2.09,16.323,14.298,0.034,7.320,0.229,V
2457048.95286,2015-01-26.4482068,bb,2.09,16.105,14.230,0.039,7.797,0.279,V
2457049.80202,2015-01-27.2973888,ba,2.02,15.782,14.443,0.064,6.406,0.374,V
2457049.80346,2015-01-27.2988135,ba,2.03,15.744,14.221,0.054,7.859,0.388,V
2457049.94223,2015-01-27.4375820,bb,1.99,16.155,14.307,0.040,7.264,0.267,V
2457049.94369,2015-01-27.4390435,bb,1.99,16.219,14.241,0.035,7.722,0.252,V
2457050.95843,2015-01-28.4537928,bb,2.05,16.005,14.284,0.045,7.419,0.306,V
2457050.95983,2015-01-28.4551895,bb,2.06,16.123,14.286,0.040,7.407,0.275,V
2457051.79881,2015-01-29.2941771,ba,1.75,15.806,14.255,0.053,7.619,0.367,V
2457051.80029,2015-01-29.2956650,ba,1.68,15.659,14.356,0.066,6.942,0.419,V
2457051.94087,2015-01-29.4362375,bb,2.12,15.930,14.326,0.050,7.134,0.327,V
2457051.94228,2015-01-29.4376560,bb,2.13,15.891,14.326,0.052,7.135,0.339,V
2457052.93980,2015-01-30.4351821,bb,2.41,15.824,14.412,0.060,6.597,0.362,V
2457052.94140,2015-01-30.4367855,bb,2.43,15.650,14.266,0.061,7.545,0.425,V
2457053.78924,2015-01-31.2846383,ba,1.75,15.461,14.413,0.084,6.584,0.503,V
2457053.79063,2015-01-31.2860277,ba,1.97,15.244,14.415,0.102,6.574,0.614,V
2457053.96927,2015-01-31.4646657,bb,2.03,14.963,14.257,0.123,7.606,0.848,V
2457053.97068,2015-01-31.4660751,bb,2.04,15.130,14.475,0.121,6.223,0.686,V
2457054.78862,2015-02-01.2840777,ba,1.71,15.308,14.404,0.096,6.640,0.579,V
2457054.79016,2015-02-01.2855670,ba,1.94,15.271,14.137,0.077,8.488,0.599,V
2457055.78577,2015-02-02.2811991,ba,1.71,15.116,14.377,0.111,6.808,0.690,V
2457055.78717,2015-02-02.2825912,ba,1.64,15.333,14.327,0.087,7.131,0.566,V
2457060.79845,2015-02-07.2939814,bc,1.72,15.907,14.268,0.048,7.531,0.334,V
2457060.80038,2015-02-07.2959067,bb,2.05,15.936,14.211,0.045,7.938,0.325,V
2457061.74536,2015-02-08.2409164,bc,1.52,16.278,14.228,0.033,7.813,0.238,V
2457061.91172,2015-02-08.4072839,bb,2.00,15.800,14.273,0.054,7.493,0.369,V
2457061.91313,2015-02-08.4086883,bb,1.99,15.922,14.299,0.049,7.319,0.330,V
2457069.79162,2015-02-16.2874046,ba,1.63,16.104,14.317,0.042,7.197,0.279,V
2457069.79302,2015-02-16.2888114,ba,1.64,16.151,14.173,0.035,8.215,0.268,V
2457069.88148,2015-02-16.3772585,bb,2.03,16.375,14.264,0.031,7.555,0.218,V
2457069.88289,2015-02-16.3786657,bb,2.03,16.271,14.274,0.035,7.492,0.240,V
2457070.81120,2015-02-17.3069975,bb,2.06,16.290,14.262,0.034,7.574,0.236,V
2457070.81260,2015-02-17.3084010,bb,2.03,16.323,14.194,0.031,8.059,0.229,V
2457070.81409,2015-02-17.3099162,ba,1.61,16.320,14.278,0.033,7.459,0.230,V
2457070.81550,2015-02-17.3113295,ba,1.64,15.998,14.394,0.050,6.703,0.307,V
2457071.77969,2015-02-18.2755513,ba,1.59,16.063,14.308,0.044,7.259,0.290,V
2457071.78110,2015-02-18.2769585,ba,1.71,15.993,14.297,0.046,7.333,0.309,V
2457071.79124,2015-02-18.2870913,bb,2.05,16.272,14.288,0.035,7.392,0.240,V
2457071.79275,2015-02-18.2886003,bb,2.05,16.169,14.246,0.037,7.680,0.263,V
2457072.77365,2015-02-19.2695465,ba,1.64,16.063,14.308,0.044,7.253,0.290,V
2457072.77506,2015-02-19.2709589,ba,1.73,16.239,14.250,0.035,7.658,0.247,V
2457072.79692,2015-02-19.2928103,bb,1.70,16.421,14.341,0.032,7.037,0.209,V
2457072.79833,2015-02-19.2942167,bb,1.60,16.380,14.266,0.031,7.545,0.217,V
2457073.75597,2015-02-20.2519023,ba,1.69,15.942,14.320,0.049,7.176,0.324,V
2457073.75736,2015-02-20.2532907,ba,1.73,16.003,14.323,0.047,7.154,0.306,V
2457075.77476,2015-02-22.2707635,bb,2.11,16.109,14.225,0.039,7.833,0.278,V
2457075.77617,2015-02-22.2721653,bb,2.10,16.217,14.232,0.035,7.787,0.252,V
2457077.74832,2015-02-24.2444130,ba,1.77,15.938,14.318,0.049,7.185,0.325,V
2457077.74972,2015-02-24.2458151,ba,1.79,15.998,14.280,0.045,7.444,0.308,V
2457077.77134,2015-02-24.2674253,bb,2.03,16.128,14.216,0.038,7.896,0.273,V
2457077.77274,2015-02-24.2688290,bb,2.03,16.151,14.228,0.037,7.806,0.268,V
2457078.74300,2015-02-25.2391339,ba,1.69,15.811,14.208,0.050,7.960,0.365,V
2457078.74439,2015-02-25.2405251,ba,1.65,15.902,14.272,0.049,7.502,0.336,V
2457078.76912,2015-02-25.2652388,bb,2.02,16.164,14.314,0.040,7.216,0.265,V
2457078.77065,2015-02-25.2667726,bb,2.02,16.024,14.229,0.042,7.807,0.300,V
2457079.75760,2015-02-26.2537880,ba,1.64,15.761,14.492,0.068,6.128,0.382,V
2457079.75900,2015-02-26.2551878,ba,1.67,15.765,14.286,0.056,7.406,0.381,V
2457080.85085,2015-02-27.3470876,ba,1.61,15.649,14.261,0.061,7.576,0.423,V
2457080.85227,2015-02-27.3485126,ba,1.64,15.601,14.315,0.067,7.212,0.442,V
2457080.87033,2015-02-27.3665719,bb,1.67,15.824,14.171,0.048,8.228,0.361,V
2457080.87173,2015-02-27.3679733,bb,1.69,15.915,14.319,0.050,7.184,0.331,V
2457084.76421,2015-03-03.2606378,bb,1.68,14.536,>14.536,99.990,4.873,1.177,V
2457084.76561,2015-03-03.2620413,bb,2.03,99.990,99.990,99.990,99.990,99.990,V
