ra,dec,sigra,sigdec,w1mpro,w1sigmpro,w1snr,w2mpro,w2sigmpro,w2snr,w3mpro,w3sigmpro,w3snr,w4mpro,w4sigmpro,w4snr,cc_flags,ph_qual,sso_flg,qual_frame,qi_fact,saa_sep,moon_masked,mjd,source_id,w1flux,w1sigflux,w2flux,w2sigflux,allwise_cntr,r_allwise
113.142088,-20.0136256,0.1129,0.1225,12.153,0.029,37.9,12.08,0.043,25.2,11.398,,0.3,7.545,,0.9,0000,AAUU,0,10,1.0,93.728,0000,55299.382714,03622a085-000793,2751.1,72.499,1015.1,40.242,,
113.1421033,-20.0135963,0.108,0.1069,12.123,0.024,44.8,12.223,0.044,24.7,11.257,0.443,2.5,7.436,0.328,3.3,0000,AACB,0,10,1.0,52.425,0000,55299.515018,03627a024-000988,2829.4,63.178,890.01,36.079,,
113.1420822,-20.0135837,0.1113,0.1136,12.112,0.026,42.1,12.141,0.037,29.4,11.219,0.434,2.5,7.71,,0.3,0000,AACU,0,10,1.0,11.882,0000,55299.647322,03630a085-000942,2857.9,67.864,959.8,32.697,,
113.1420755,-20.0136096,0.1196,0.1236,12.18,0.03,36.4,12.136,0.043,25.2,10.44,0.205,5.3,7.728,,,0000,AABU,0,10,1.0,3.84,0000,55299.713538,03633a062-000795,2684.4,73.705,963.56,38.177,,
113.1420878,-20.0136011,0.1093,0.1089,12.153,0.025,43.9,12.12,0.037,29.7,10.421,0.207,5.2,7.589,,0.6,0000,AABU,0,10,1.0,-4.812,0000,55299.779626,03634a085-000981,2752.8,62.725,977.8,32.909,,
113.1421435,-20.013633,0.1047,0.1098,12.092,0.026,42.5,12.095,0.037,29.5,10.732,,2.0,7.782,,,0000,AAUU,0,10,1.0,-11.778,0000,55299.845842,03637a062-002953,2909.4,68.484,1001.3,33.992,,
113.142274,-20.0138133,0.0788,0.0896,11.822,0.016,66.9,12.716,0.048,22.5,10.598,0.346,3.1,7.951,,,0000,AABU,0,10,1.0,-7.99,0000,55299.911931,03638a085-002986,3731.7,55.758,565.06,25.123,,
113.1420863,-20.0135793,0.105,0.1133,12.146,0.026,41.4,12.089,0.036,30.2,11.396,0.497,2.2,7.892,,,0000,AACU,0,10,1.0,6.303,0000,55299.978146,03641a062-000968,2770.6,66.92,1006.1,33.297,,
113.142082,-20.0136215,0.1072,0.1102,12.14,0.024,44.7,12.104,0.039,28.0,11.13,,0.9,7.858,,0.4,0000,AAUU,0,10,1.0,26.473,0000,55300.044235,03642a085-000778,2785.7,62.304,992.34,35.393,,
113.1420579,-20.0136157,0.1104,0.1119,12.138,0.025,42.8,12.198,0.041,26.5,11.321,0.473,2.3,7.75,,0.4,0000,AACU,0,10,1.0,48.401,0000,55300.11045,03645a020-000846,2788.8,65.155,910.51,34.395,,
