ra,dec,sigra,sigdec,w1mpro,w1sigmpro,w1snr,w2mpro,w2sigmpro,w2snr,w3mpro,w3sigmpro,w3snr,w4mpro,w4sigmpro,w4snr,cc_flags,ph_qual,sso_flg,qual_frame,qi_fact,saa_sep,moon_masked,mjd,source_id,w1flux,w1sigflux,w2flux,w2sigflux,allwise_cntr,r_allwise
120.862193,-26.2722421,0.1533,0.175,12.845,0.038,28.7,12.822,0.057,19.0,10.667,0.246,4.4,7.676,,,0000,AABU,0,10,1.0,20.03,0000,55312.613144,04022a081-001480,1455.3,50.618,512.25,26.927,,
120.8622686,-26.272214,0.1661,0.1677,12.759,0.035,31.3,13.004,0.067,16.2,11.25,0.43,2.5,7.939,,,0000,AACU,0,10,1.0,-5.169,0000,55312.745449,04026a081-001384,1574.1,50.322,433.2,26.791,,
120.8623255,-26.2721635,0.1552,0.168,13.03,0.033,33.1,13.072,0.067,16.2,11.434,,,7.928,,,0000,AAUU,0,0,0.0,-17.729,0000,55312.877753,04030a081-010539,1226.5,37.075,406.92,25.155,,
120.8622292,-26.2721175,0.1343,0.1592,12.824,0.032,33.8,13.005,0.059,18.3,10.984,0.312,3.5,7.855,,0.3,0000,AABU,0,10,1.0,-6.745,0000,55312.943841,04033a057-003886,1483.0,43.833,432.73,23.622,,
120.8622607,-26.2721615,0.1345,0.1427,12.811,0.03,36.0,12.756,0.054,20.2,11.336,0.455,2.4,7.618,,0.7,0000,AACU,0,10,1.0,13.467,0000,55313.010057,04034a081-001249,1500.9,41.66,544.57,27.025,,
120.86224,-26.2721643,0.1517,0.1699,12.836,0.033,32.4,12.941,0.064,17.1,11.104,,1.0,7.815,,,0000,AAUU,0,10,1.0,34.517,0000,55313.076146,04037a001-001469,1467.3,45.265,459.14,26.903,,
120.8621915,-26.2721118,0.1452,0.1523,12.793,0.032,33.8,12.87,0.056,19.3,11.491,,,7.53,,1.0,0000,AAUU,0,10,1.0,74.885,0000,55313.20845,04041a056-001428,1526.2,45.16,490.04,25.404,,
120.8622223,-26.2722173,0.1449,0.1529,12.802,0.031,35.2,12.879,0.056,19.3,11.2,0.416,2.6,7.698,,0.6,0000,AACU,0,10,1.0,91.785,0000,55313.274666,04042a081-001309,1513.8,43.007,486.12,25.239,,
120.8622297,-26.27217,0.1486,0.1475,12.806,0.031,35.5,12.898,0.058,18.8,10.763,,1.8,7.988,,,0000,AAUU,0,10,1.0,101.011,0000,55313.340754,04045a056-001385,1507.5,42.434,477.58,25.371,,
120.8622794,-26.2721875,0.1771,0.1695,12.821,0.034,32.2,12.913,0.066,16.5,11.247,0.404,2.7,7.933,0.496,2.2,0000,AACC,0,10,1.0,84.322,0000,55313.40697,04046a081-001224,1486.8,46.143,471.04,28.597,,
120.8622362,-26.2721516,0.1562,0.1635,12.852,0.037,29.2,12.722,0.048,22.4,11.564,,,7.894,,,0000,AAUU,0,10,1.0,22.482,0000,55313.605363,04053a056-001438,1445.4,49.441,561.75,25.08,,
120.862204,-26.2722432,0.1486,0.1487,12.807,0.034,31.7,12.913,0.058,18.8,11.155,0.374,2.9,7.967,,,0000,AACU,0,10,1.0,22.482,0000,55313.60549,04053a057-001268,1506.6,47.463,471.38,25.008,,
120.8622392,-26.2721631,0.1453,0.1646,12.754,0.033,32.5,12.911,0.059,18.5,11.44,0.467,2.3,7.949,0.495,2.2,0000,AACC,0,10,1.0,-4.918,0000,55313.737667,04057a056-001283,1582.6,48.761,472.12,25.489,,
120.8622212,-26.272171,0.1464,0.151,12.795,0.034,31.7,12.831,0.065,16.7,10.889,0.281,3.9,7.984,,,0000,AABU,0,10,1.0,-4.483,0000,55313.737794,04057a057-001281,1522.7,48.102,508.07,30.361,,
120.8622898,-26.272122,0.1922,0.2129,13.056,0.044,24.9,13.525,0.093,11.7,10.906,,1.7,8.038,,,hH00,AAUU,0,10,1.0,-18.509,0000,55313.869971,04061a056-009549,1197.7,48.177,268.25,22.955,,
120.8622563,-26.2721804,0.0694,0.0751,12.866,0.029,37.8,12.904,0.061,17.8,,,,,,,0000,AAXX,0,10,1.0,83.275,0000,55503.885687,09805b222-001225,1458.5,38.616,507.17,28.486,,
120.8622531,-26.272143,0.0738,0.0772,12.877,0.032,33.6,12.84,0.055,19.7,,,,,,,0000,AAXX,0,10,1.0,43.101,0000,55504.017991,09809b223-001302,1443.3,42.915,537.96,27.273,,
