ra,dec,sigra,sigdec,w1mpro,w1sigmpro,w1snr,w2mpro,w2sigmpro,w2snr,w3mpro,w3sigmpro,w3snr,w4mpro,w4sigmpro,w4snr,cc_flags,ph_qual,sso_flg,qual_frame,qi_fact,saa_sep,moon_masked,mjd,source_id,w1flux,w1sigflux,w2flux,w2sigflux,allwise_cntr,r_allwise
48.5555564,-22.5954068,0.2251,0.2318,13.854,0.047,23.0,13.328,0.076,14.2,10.792,,1.7,7.989,,,0000,AAUU,0,10,1.0,46.035,0000,55218.531424,01178b089-000217,574.59,24.951,321.51,22.632,,
48.5556669,-22.5954543,0.2949,0.3163,14.238,0.063,17.3,13.498,0.092,11.8,10.852,,1.6,7.954,,,0000,AAUU,0,10,1.0,4.04,0000,55218.663728,01182a088-000341,403.15,23.246,274.91,23.232,,
48.5555776,-22.5953931,0.3337,0.3804,14.462,0.072,15.1,13.587,0.092,11.9,11.162,0.409,2.7,7.968,,,0000,AACU,0,10,1.0,-14.921,0000,55218.796032,01186a088-001822,328.15,21.776,253.37,21.364,,
48.5564603,-22.5953444,0.169,0.1693,11.877,0.042,25.7,14.615,,1.9,11.391,,,7.002,,1.5,0000,AUUU,0,10,1.0,-14.334,0000,55218.796159,01186a089-000470,3549.1,138.14,47.574,25.342,,
48.5556957,-22.5956312,0.153,0.1647,14.028,0.051,21.1,11.891,0.036,29.9,10.363,0.187,5.8,7.905,,,0000,AABU,0,10,1.0,-20.734,0000,55218.862248,01189a065-007545,489.27,23.203,1207.3,40.354,,
48.5556306,-22.5954199,0.2544,0.2591,13.868,0.046,23.7,15.499,,,11.403,,,7.703,,,0000,AUUU,0,10,1.0,-12.142,0000,55218.928464,01190a089-008730,567.24,23.947,-3.9434,21.761,,
48.5556545,-22.5954337,0.2814,0.2948,14.135,0.058,18.6,13.585,0.088,12.3,10.643,0.243,4.5,7.279,,1.8,0000,AABU,0,10,1.0,7.557,0000,55218.994552,01193a064-000323,443.57,23.832,253.66,20.638,,
48.5556238,-22.595553,0.3552,0.3466,14.449,0.065,16.6,13.722,0.104,10.4,11.479,0.518,2.1,7.883,,0.1,0000,AACU,0,10,1.0,28.554,0000,55219.060768,01194a089-000375,332.16,19.989,223.76,21.503,,
48.5555857,-22.5954144,0.3663,0.421,14.766,0.085,12.7,13.73,0.097,11.2,11.202,,0.5,7.714,,,0000,AAUU,0,10,1.0,49.113,0000,55219.126984,01197a065-000450,248.06,19.513,222.07,19.839,,
48.5556771,-22.5954546,0.33,0.3344,14.373,0.065,16.8,13.726,0.104,10.4,10.827,,1.8,8.025,,,0000,AAUU,0,10,1.0,68.668,0000,55219.193072,01198b088-000365,356.09,21.24,222.74,21.36,,
48.5555915,-22.5954621,0.2296,0.2398,13.891,0.047,23.2,13.395,0.08,13.5,10.75,0.271,4.0,7.831,,0.3,0000,AABU,0,10,1.0,86.246,0000,55219.259288,01201a065-000264,555.29,23.923,302.27,22.37,,
48.5556538,-22.595493,0.3287,0.3459,14.344,0.063,17.3,13.717,0.108,10.0,11.356,,0.3,7.697,,0.3,0000,AAUU,0,10,1.0,87.872,0000,55219.391593,01205a065-000438,365.76,21.097,224.72,22.405,,
48.555554,-22.5953903,0.2879,0.3071,14.344,0.061,17.7,13.65,0.091,11.9,11.209,0.403,2.7,7.986,,,0000,AACU,0,10,1.0,50.749,0000,55220.516497,01238b091-000291,365.82,20.667,239.04,20.092,,
48.5555924,-22.5954106,0.3449,0.3591,14.552,0.072,15.0,13.596,0.103,10.6,10.619,0.251,4.3,7.462,,1.2,0000,AABU,0,10,1.0,8.739,0000,55220.648802,01242a091-000403,301.96,20.13,251.22,23.734,,
48.5556403,-22.5954219,0.2148,0.2575,13.801,0.047,22.9,13.466,0.081,13.4,11.404,0.51,2.1,7.849,,0.1,0000,AACU,0,10,1.0,-12.012,0000,55220.781106,01246a091-001282,603.37,26.382,283.25,21.166,,
48.5555681,-22.5953271,0.2598,0.2947,13.974,0.05,21.6,15.408,,,11.156,,0.4,7.887,,,0000,AUUU,0,10,1.0,-11.422,0000,55220.781233,01246a092-001108,514.21,23.847,-63.019,23.677,,
48.5555336,-22.5953772,0.2703,0.29,14.088,0.06,18.0,13.522,0.084,12.9,11.546,0.528,2.1,7.628,,0.5,0000,AACU,0,10,1.0,-20.355,0000,55220.847322,01249a067-007863,463.0,25.782,268.83,20.769,,
48.55553,-22.59538,0.3666,0.3671,14.407,0.064,17.0,14.805,0.278,3.9,11.066,,0.8,7.564,0.475,2.3,0H00,ABUC,0,10,1.0,-14.924,0000,55220.913538,01250a091-009185,345.15,20.362,82.487,21.102,,
48.5556,-22.5953466,0.4692,0.4534,14.75,0.102,10.7,13.809,0.116,9.3,11.149,,0.6,7.666,,0.6,0000,ABUU,0,10,1.0,2.956,0000,55220.979626,01253a067-000678,251.65,23.589,206.4,22.134,,
48.5555782,-22.5955214,0.378,0.3665,14.422,0.068,15.9,13.75,0.108,10.1,11.059,,1.0,7.66,,0.6,0000,AAUU,0,10,1.0,24.117,0000,55221.045842,01254a091-000376,340.49,21.356,217.91,21.629,,
48.5555952,-22.5954191,0.2502,0.2732,14.067,0.056,19.3,13.373,0.077,14.1,11.328,,0.1,7.933,,,0000,AAUU,0,10,1.0,44.782,0000,55221.112058,01257a068-000278,471.87,24.425,308.58,21.83,,
48.5556428,-22.5954284,0.2486,0.2304,13.775,0.047,23.3,13.543,0.092,11.7,10.32,0.186,5.8,7.54,,1.1,0000,AABU,0,10,1.0,64.718,0000,55221.178146,01258b091-000263,617.71,26.464,263.73,22.467,,
48.5555229,-22.5953939,0.2962,0.2911,14.091,0.054,20.2,13.731,0.118,9.2,11.361,,0.3,7.301,,1.6,0000,ABUU,0,10,1.0,83.486,0000,55221.244362,01261a067-000294,461.94,22.903,221.9,24.048,,
48.555504,-22.5955006,0.4116,0.4023,14.759,0.08,13.5,13.668,0.098,11.1,11.089,0.374,2.9,7.864,,,0000,AACU,0,10,1.0,92.306,0000,55221.376666,01265a067-000480,249.52,18.467,235.13,21.167,,
48.5556465,-22.5954062,0.2501,0.2556,13.898,0.049,22.1,13.361,0.078,13.9,11.092,0.379,2.9,7.575,,0.7,0000,AACU,0,10,1.0,53.101,0000,55221.508971,01269a033-000278,551.51,24.981,311.75,22.415,,
48.5556107,-22.5954378,0.2579,0.2676,13.926,0.05,21.5,13.508,0.087,12.5,11.095,0.391,2.8,7.929,,,0000,AACU,0,10,1.0,-0.25,0000,55407.189135,06881b214-000307,537.49,24.991,272.31,21.751,,
48.555503,-22.595329,0.3441,0.3471,14.318,0.064,17.0,13.75,0.106,10.2,10.921,,1.3,7.823,,,000d,AAUU,0,10,1.0,-17.196,0000,55407.321438,06885b214-010575,374.55,22.061,217.99,21.295,,
48.55566,-22.5954329,0.3555,0.3707,14.554,0.071,15.3,13.664,0.099,11.0,10.928,,1.2,7.852,,0.2,0000,AAUU,0,10,1.0,1.314,0000,55407.453742,06889b214-001087,301.35,19.671,236.04,21.495,,
48.5556095,-22.5954501,0.2934,0.2826,14.215,0.064,16.9,13.465,0.078,13.8,11.438,0.487,2.2,7.889,,,0000,AACU,0,10,1.0,23.031,0000,55407.519958,06892a190-000318,411.98,24.386,283.53,20.48,,
48.5556594,-22.5954434,0.2546,0.2536,13.918,0.047,23.1,13.677,0.105,10.3,11.418,,,7.351,,1.2,0000,AAUU,0,0,0.0,43.959,0000,55407.586046,06893b214-000219,541.5,23.397,233.06,22.63,,
48.5555422,-22.5954047,0.2424,0.2189,13.788,0.051,21.3,13.229,0.069,15.7,11.367,0.49,2.2,7.479,,1.0,0000,AACU,0,10,1.0,64.262,0000,55407.652261,06896a190-000250,610.23,28.595,352.32,22.465,,
48.5556407,-22.5953253,0.2784,0.2889,14.236,0.056,19.2,13.445,0.085,12.8,11.41,0.517,2.1,7.793,,,0000,AACU,0,10,1.0,83.91,0000,55407.71835,06897b214-000324,404.01,20.999,288.72,22.522,,
