HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2455958.83678,2012-02-01.3370414,bb,1.71,99.990,99.990,99.990,99.990,99.990,V
2455958.83844,2012-02-01.3387068,bb,1.75,16.593,16.478,0.197,0.984,0.177,V
2455958.84001,2012-02-01.3402743,bb,1.76,16.718,16.695,0.215,0.805,0.158,V
2455984.75246,2012-02-27.2546701,ba,2.02,15.350,>15.350,99.990,0.125,0.556,V
2455984.75406,2012-02-27.2562672,ba,2.04,16.000,>16.000,99.990,0.696,0.306,V
2455984.75587,2012-02-27.2580745,bb,1.96,15.975,>15.975,99.990,0.387,0.313,V
2455984.75751,2012-02-27.2597115,bb,2.03,16.604,>16.604,99.990,0.248,0.175,V
2456593.95294,2013-10-28.4484771,bb,1.68,16.999,>16.999,99.990,0.498,0.122,V
2456593.95430,2013-10-28.4498381,bb,1.77,17.005,16.370,0.122,1.086,0.121,V
2456600.93221,2013-11-04.4277642,bb,1.74,17.420,16.824,0.126,0.715,0.083,V
2456600.93359,2013-11-04.4291478,bb,1.75,17.411,16.731,0.117,0.778,0.083,V
2456613.90450,2013-11-17.4002459,bb,2.30,15.598,>15.598,99.990,0.699,0.442,V
2456613.90592,2013-11-17.4016679,bb,2.31,15.561,>15.561,99.990,1.116,0.458,V
2456618.80141,2013-11-22.2972807,bb,1.71,17.273,16.866,0.150,0.688,0.095,V
2456618.80278,2013-11-22.2986520,bb,1.71,17.385,17.031,0.158,0.591,0.085,V
2456621.79895,2013-11-25.2949231,bb,2.18,17.331,16.686,0.121,0.812,0.090,V
2456621.80032,2013-11-25.2962898,bb,2.15,17.254,16.913,0.160,0.659,0.096,V
2456625.80385,2013-11-29.2999706,bb,1.69,17.422,16.805,0.124,0.728,0.083,V
2456625.80521,2013-11-29.3013253,bb,1.69,17.405,17.181,0.178,0.515,0.084,V
2456629.80271,2013-12-03.2989937,bb,1.75,17.101,16.453,0.120,1.007,0.111,V
2456629.80420,2013-12-03.3004744,bb,1.76,17.203,16.727,0.141,0.782,0.101,V
2456638.86921,2013-12-12.3659265,bb,2.01,16.538,16.435,0.200,1.023,0.186,V
2456638.87060,2013-12-12.3673123,bb,1.89,16.657,>16.657,99.990,0.666,0.167,V
2456639.78653,2013-12-13.2832923,bb,2.10,99.990,99.990,99.990,99.990,99.990,V
2456639.78830,2013-12-13.2850594,bb,2.09,13.978,>13.978,99.990,-0.772,1.966,V
2456643.75635,2013-12-17.2533400,bb,2.35,16.018,>16.018,99.990,0.181,0.301,V
2456643.75768,2013-12-17.2546621,bb,2.30,15.941,>15.941,99.990,0.443,0.322,V
2456683.78549,2014-01-26.2853261,bb,1.72,17.466,16.911,0.131,0.660,0.079,V
2456683.78727,2014-01-26.2870993,bb,1.74,17.362,17.081,0.169,0.564,0.087,V
